Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
65,BSV Eintracht Mahlsdorf II,Marc Michas,10,ST,20,0.35
66,FC Internationale Berlin 1980,Moreno Schneider,19,RM,18,0.333
67,SV Empor Berlin II,Nico Bochnia,23,ST,15,0.333
68,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,0.333
69,BFC Preussen II,Magnus Stahlberg,16,IV,19,0.316
70,BFC Meteor 06,Eriseld Tafilaj,69,NA,19,0.316
71,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,13,0.308
72,Türkiyemspor Berlin,Enes Uzun,25,RM,23,0.304
73,TSV Rudow Berlin,Lucas Robbin Bähr,NA,IV,10,0.3
74,FSV Berolina Stralau 1901,Eric Stier,5,ST,20,0.3
75,SV Empor Berlin II,Jonathan Stolp,7,RM,10,0.3
76,Köpenicker FC,Nicolas Tauschwitz,10,LM,20,0.3
77,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,20,0.3
78,Berliner SV 1892,Lennard Schleifenbaum,21,ZM,27,0.296
79,Berliner SC II,Erhan Kücükosman,10,ST,17,0.294
80,Berliner SC II,Linus Dersch,NA,RM,7,0.286
81,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,7,0.286
82,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,0.286
83,SV Empor Berlin II,Demba Mendy,9,ST,18,0.278
84,Köpenicker FC,Felix Wittenburg,24,ZM,18,0.278
85,FC Viktoria 1889 Berlin II,David Nagel,4,IV,11,0.273
86,Berliner SV 1892,Tim Paschke,13,ST,15,0.267
87,TSV Rudow Berlin,Melih Hortum,10,ZOM,19,0.263
88,BFC Preussen II,Lasse Engelsing,12,LV,19,0.263
89,FC Internationale Berlin 1980,Dominic Kranz,7,LM,19,0.263
90,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,23,0.261
91,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,23,0.261
92,BFC Meteor 06,Ibrahim Celik,47,RM,23,0.261
93,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,0.25
94,BFC Preussen II,Rommel Abou-Chaker,13,ST,12,0.25
95,FSV Berolina Stralau 1901,Tom Jonach,16,IV,16,0.25
96,BFC Meteor 06,Fredy Balde,8,LM,8,0.25
97,Berliner SC II,Nikolaos Kaggelidids,3,LV,20,0.25
98,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,24,0.25
99,FC Internationale Berlin 1980,Marko Fischer,4,LV,8,0.25
100,Berliner SV 1892,Nikita Charkov,20,IV,21,0.238
101,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,21,0.238
102,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,21,0.238
103,FC Internationale Berlin 1980,Ryan Max Robert French,14,RM,21,0.238
104,SV Stern Britz 1889,Dustin Sik,7,RM,13,0.231
105,TSV Rudow Berlin,Elias Burda,13,IV,26,0.231
106,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,26,0.231
107,VfB Concordia Britz 1916,Jerry Gase,7,ST,22,0.227
108,SC Borsigwalde 1910,Magnus Crone,14,RM,22,0.227
109,SV Empor Berlin II,Leon Drannaschk,10,LM,18,0.222
110,BFC Meteor 06,Oktay Ugur,17,ZOM,23,0.217
111,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,23,0.217
112,TSV Rudow Berlin,Patrick Maykowski,20,RM,28,0.214
113,Berliner SV 1892,El-Amin Elsaadawi,17,ST,20,0.2
114,BFC Preussen II,Dan Feldmann,NA,ST,10,0.2
115,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,0.2
116,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,10,0.2
117,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,20,0.2
118,SV Stern Britz 1889,Shaker Shawrdi,20,LM,20,0.2
